iter	Passed	Remaining
0	3	3253
1	6	3178
2	9	3156
3	12	3101
4	15	3046
5	18	3043
6	21	3045
7	24	3041
8	27	3043
9	30	3037
10	33	3041
11	36	3037
12	40	3041
13	43	3058
14	46	3058
15	49	3068
16	53	3079
17	56	3084
18	59	3084
19	62	3078
20	66	3077
21	69	3078
22	72	3078
23	75	3081
24	79	3084
25	82	3089
26	85	3090
27	89	3094
28	92	3097
29	95	3101
30	99	3112
31	103	3122
32	106	3124
33	110	3132
34	113	3131
35	117	3133
36	120	3131
37	123	3131
38	127	3132
39	130	3132
40	133	3128
41	137	3130
42	140	3132
43	144	3132
44	147	3137
45	151	3135
46	154	3134
47	158	3134
48	161	3136
49	165	3144
50	169	3145
51	172	3143
52	176	3146
53	179	3145
54	182	3142
55	186	3142
56	189	3137
57	192	3134
58	196	3131
59	199	3128
60	202	3122
61	206	3117
62	209	3113
63	212	3108
64	216	3109
65	219	3107
66	222	3104
67	226	3102
68	229	3098
69	232	3094
70	236	3090
71	239	3089
72	243	3085
73	246	3080
74	249	3078
75	253	3083
76	257	3087
77	261	3087
78	264	3088
79	268	3090
80	272	3087
81	275	3084
82	276	3058
83	280	3057
84	283	3054
85	287	3054
86	291	3054
87	294	3053
88	298	3051
89	301	3049
90	305	3046
91	308	3045
92	312	3045
93	313	3025
94	317	3024
95	321	3023
96	324	3022
97	328	3022
98	331	3018
99	335	3015
100	338	3013
101	341	3010
102	345	3007
103	348	3002
104	351	2999
105	355	2996
106	358	2992
107	362	2990
108	365	2986
109	368	2984
110	372	2982
111	375	2978
112	378	2973
113	382	2969
114	385	2966
115	388	2961
116	391	2957
117	395	2953
118	398	2949
119	401	2947
120	405	2943
121	408	2939
122	411	2934
123	414	2931
124	418	2926
125	421	2922
126	424	2918
127	427	2913
128	430	2909
129	434	2906
130	437	2901
131	440	2897
132	443	2892
133	447	2889
134	450	2885
135	453	2880
136	456	2878
137	460	2874
138	463	2871
139	466	2868
140	470	2864
141	473	2861
142	476	2857
143	480	2853
144	483	2849
145	486	2845
146	489	2842
147	493	2839
148	496	2835
149	499	2831
150	503	2828
151	506	2824
152	509	2821
153	512	2817
154	516	2813
155	519	2808
156	522	2805
157	525	2801
158	528	2797
159	532	2793
160	535	2789
161	538	2786
162	541	2782
163	544	2777
164	548	2774
165	551	2770
166	554	2766
167	558	2763
168	561	2760
169	564	2757
170	567	2753
171	571	2749
172	574	2745
173	577	2741
174	580	2737
175	583	2733
176	587	2729
177	590	2726
178	594	2725
179	597	2721
180	600	2718
181	604	2715
182	607	2711
183	610	2707
184	613	2704
185	617	2702
186	621	2700
187	624	2696
188	627	2693
189	631	2691
190	634	2689
191	638	2688
192	643	2689
193	647	2688
194	650	2685
195	653	2682
196	657	2678
197	660	2675
198	664	2673
199	667	2670
200	670	2666
201	673	2662
202	677	2658
203	680	2654
204	683	2650
205	686	2646
206	690	2644
207	693	2640
208	697	2638
209	700	2635
210	703	2631
211	707	2628
212	710	2624
213	713	2621
214	716	2617
215	720	2614
216	723	2610
217	726	2606
218	730	2603
219	733	2599
220	736	2596
221	739	2592
222	743	2589
223	746	2586
224	750	2583
225	753	2579
226	756	2575
227	759	2571
228	762	2567
229	766	2564
230	769	2561
231	772	2557
232	776	2554
233	779	2551
234	782	2548
235	786	2544
236	789	2540
237	792	2537
238	795	2534
239	799	2530
240	802	2527
241	806	2524
242	809	2521
243	812	2518
244	816	2514
245	819	2511
246	822	2508
247	826	2505
248	830	2503
249	833	2501
250	837	2498
251	840	2495
252	843	2491
253	847	2488
254	850	2485
255	854	2482
256	857	2479
257	860	2475
258	864	2472
259	867	2470
260	871	2468
261	874	2464
262	878	2460
263	881	2457
264	884	2454
265	888	2451
266	891	2448
267	895	2445
268	898	2442
269	902	2439
270	905	2435
271	908	2432
272	912	2428
273	915	2426
274	919	2424
275	923	2422
276	927	2419
277	930	2417
278	934	2414
279	938	2412
280	941	2409
281	945	2406
282	948	2403
283	952	2400
284	955	2396
285	958	2393
286	962	2390
287	965	2387
288	969	2384
289	972	2381
290	976	2378
291	979	2375
292	983	2372
293	986	2368
294	989	2365
295	993	2362
296	996	2358
297	999	2355
298	1003	2352
299	1006	2349
300	1009	2345
301	1013	2341
302	1016	2337
303	1019	2333
304	1022	2331
305	1026	2327
306	1029	2324
307	1032	2320
308	1036	2317
309	1039	2314
310	1043	2311
311	1046	2308
312	1050	2305
313	1053	2301
314	1057	2298
315	1060	2295
316	1063	2291
317	1067	2288
318	1070	2285
319	1074	2282
320	1077	2279
321	1080	2276
322	1084	2273
323	1088	2271
324	1092	2268
325	1096	2266
326	1099	2263
327	1103	2260
328	1106	2257
329	1110	2253
330	1113	2250
331	1117	2247
332	1120	2244
333	1124	2241
334	1128	2239
335	1132	2237
336	1136	2235
337	1140	2233
338	1143	2230
339	1148	2228
340	1151	2226
341	1155	2223
342	1160	2221
343	1163	2218
344	1167	2216
345	1171	2213
346	1174	2210
347	1178	2207
348	1181	2204
349	1185	2201
350	1188	2198
351	1192	2195
352	1196	2193
353	1200	2190
354	1204	2187
355	1207	2184
356	1211	2181
357	1214	2178
358	1218	2175
359	1222	2172
360	1225	2169
361	1229	2166
362	1233	2164
363	1237	2161
364	1240	2158
365	1244	2156
366	1249	2154
367	1253	2152
368	1257	2150
369	1261	2148
370	1265	2145
371	1269	2143
372	1273	2141
373	1277	2138
374	1281	2136
375	1286	2134
376	1290	2132
377	1294	2130
378	1298	2127
379	1302	2125
380	1307	2123
381	1311	2122
382	1316	2120
383	1320	2118
384	1324	2115
385	1328	2113
386	1332	2110
387	1337	2109
388	1341	2106
389	1345	2104
390	1349	2101
391	1353	2099
392	1357	2097
393	1361	2094
394	1366	2092
395	1370	2090
396	1374	2087
397	1377	2083
398	1381	2080
399	1385	2078
400	1389	2075
401	1392	2071
402	1396	2068
403	1400	2065
404	1404	2062
405	1407	2059
406	1411	2056
407	1414	2052
408	1418	2049
409	1421	2046
410	1425	2042
411	1428	2039
412	1432	2035
413	1435	2032
414	1439	2028
415	1442	2025
416	1446	2022
417	1449	2018
418	1453	2015
419	1456	2011
420	1461	2009
421	1464	2006
422	1468	2002
423	1471	1998
424	1474	1995
425	1478	1992
426	1481	1988
427	1485	1985
428	1488	1981
429	1492	1978
430	1495	1974
431	1499	1971
432	1502	1967
433	1505	1963
434	1509	1960
435	1512	1956
436	1515	1952
437	1518	1948
438	1522	1945
439	1525	1941
440	1528	1938
441	1532	1934
442	1535	1930
443	1539	1927
444	1542	1923
445	1545	1919
446	1548	1916
447	1551	1912
448	1555	1909
449	1558	1905
450	1562	1901
451	1565	1898
452	1568	1894
453	1572	1891
454	1576	1888
455	1579	1884
456	1583	1881
457	1586	1877
458	1590	1874
459	1593	1870
460	1597	1867
461	1600	1863
462	1605	1861
463	1608	1858
464	1611	1854
465	1615	1851
466	1618	1847
467	1622	1844
468	1625	1840
469	1628	1836
470	1632	1833
471	1635	1829
472	1639	1826
473	1642	1822
474	1645	1818
475	1648	1815
476	1652	1811
477	1655	1807
478	1658	1804
479	1662	1800
480	1665	1796
481	1668	1793
482	1672	1789
483	1675	1786
484	1678	1782
485	1682	1779
486	1686	1776
487	1689	1772
488	1692	1768
489	1695	1764
490	1698	1761
491	1702	1757
492	1705	1754
493	1708	1750
494	1712	1746
495	1715	1743
496	1718	1739
497	1721	1735
498	1725	1732
499	1728	1728
500	1732	1725
501	1735	1721
502	1738	1718
503	1742	1714
504	1745	1710
